     R         lat       lng     Depth    SMdepth
   15.87389  -28.5746   14.8025  197.6973    0.0000
   15.97436  -28.5750   14.8016  197.9760    0.0000
   16.07483  -28.5753   14.8007  198.2694    0.0000
   16.17529  -28.5757   14.7997  198.5777    0.0000
   16.27576  -28.5761   14.7988  198.9010    0.0000
   16.37623  -28.5765   14.7979  199.2391    0.0000
   16.47669  -28.5769   14.7969  199.5913    0.0000
   16.57716  -28.5773   14.7960  199.9590    0.0000
   16.67763  -28.5777   14.7951  200.1470    0.0000
   16.77810  -28.5781   14.7942  200.3245    0.0000
   16.87856  -28.5785   14.7932  200.4930    0.0000
   16.97903  -28.5789   14.7923  200.6527    0.0000
   17.07950  -28.5793   14.7914  200.7378    0.0000
   17.17997  -28.5796   14.7904  200.7034    0.0000
   17.28044  -28.5800   14.7895  200.6746    0.0000
   17.38090  -28.5804   14.7886  200.6518    0.0000
   17.48137  -28.5808   14.7877  200.6350    0.0000
   17.58184  -28.5812   14.7867  200.6241    0.0000
   17.68231  -28.5816   14.7858  200.6192    0.0000
   17.78277  -28.5820   14.7849  200.6204    0.0000
   17.88324  -28.5824   14.7839  200.6273    0.0000
   17.98371  -28.5828   14.7830  200.6403    0.0000
   18.08418  -28.5832   14.7821  200.6592    0.0000
   18.18464  -28.5835   14.7812  200.6840    0.0000
   18.28511  -28.5839   14.7802  200.7148    0.0000
   18.38558  -28.5843   14.7793  200.7516    0.0000
   18.48605  -28.5847   14.7784  200.7943    0.0000
   18.58652  -28.5851   14.7775  200.8429    0.0000
   18.68698  -28.5855   14.7765  200.8976    0.0000
   18.78745  -28.5859   14.7756  200.9581    0.0000
   18.88792  -28.5863   14.7747  200.9862    0.0000
   18.98839  -28.5867   14.7737  200.9619    0.0000
   19.08885  -28.5871   14.7728  200.9583    0.0000
   19.18932  -28.5875   14.7719  200.9756    0.0000
   19.28979  -28.5878   14.7710  201.0137    0.0000
   19.39026  -28.5882   14.7700  201.0727    0.0000
   19.49072  -28.5886   14.7691  201.1526    0.0000
   19.59119  -28.5890   14.7682  201.2532    0.0000
   19.69166  -28.5894   14.7672  201.3743    0.0000
   19.79213  -28.5898   14.7663  201.5166    0.0000
   19.89260  -28.5902   14.7654  201.6797    0.0000
   19.99306  -28.5906   14.7645  201.8638    0.0000
   20.09353  -28.5910   14.7635  202.0686    0.0000
   20.19400  -28.5914   14.7626  202.2942    0.0000
   20.29447  -28.5918   14.7617  202.5408    0.0000
   20.39493  -28.5921   14.7607  202.7147    0.0000
   20.49540  -28.5925   14.7598  202.8304    0.0000
   20.59587  -28.5929   14.7589  202.9371    0.0000
   20.69634  -28.5933   14.7580  203.0000    0.0000
   20.79680  -28.5937   14.7570  203.0000    0.0000
   20.89727  -28.5941   14.7561  203.0000    0.0000
   20.99774  -28.5945   14.7552  203.0000    0.0000
   21.09821  -28.5949   14.7542  203.0000    0.0000
   21.19868  -28.5953   14.7533  203.0000    0.0000
   21.29914  -28.5957   14.7524  203.0000    0.0000
   21.39961  -28.5961   14.7515  203.0000    0.0000
   21.50008  -28.5964   14.7505  203.0000    0.0000
   21.60055  -28.5968   14.7496  203.0000    0.0000
   21.70101  -28.5972   14.7487  203.0000    0.0000
   21.80148  -28.5976   14.7477  203.0000    0.0000
   21.90195  -28.5980   14.7468  203.0000    0.0000
   22.00242  -28.5984   14.7459  203.0000    0.0000
   22.10288  -28.5988   14.7450  203.0000    0.0000
   22.20335  -28.5992   14.7440  203.0000    0.0000
   22.30382  -28.5996   14.7431  203.0000    0.0000
   22.40429  -28.6000   14.7422  203.0000    0.0000
   22.50475  -28.6003   14.7413  202.8047    0.0000
   22.60522  -28.6007   14.7403  202.4077    0.0000
   22.70569  -28.6011   14.7394  202.0193    0.0000
   22.80616  -28.6015   14.7385  201.6401    0.0000
   22.90662  -28.6019   14.7375  201.2698    0.0000
   23.00709  -28.6023   14.7366  200.9082    0.0000
   23.10756  -28.6027   14.7357  200.5558    0.0000
   23.20803  -28.6031   14.7348  200.2124    0.0000
   23.30849  -28.6035   14.7338  199.8775    0.0000
   23.40896  -28.6039   14.7329  199.5519    0.0000
   23.50943  -28.6043   14.7320  199.2353    0.0000
   23.60990  -28.6046   14.7310  198.9273    0.0000
   23.71037  -28.6050   14.7301  198.6282    0.0000
   23.81083  -28.6054   14.7292  198.3383    0.0000
   23.91130  -28.6058   14.7283  198.0574    0.0000
   24.01177  -28.6062   14.7273  197.7850    0.0000
   24.11224  -28.6066   14.7264  197.4832    0.0000
   24.21270  -28.6070   14.7255  197.0711    0.0000
   24.31317  -28.6074   14.7245  196.4382    0.0000
   24.41364  -28.6078   14.7236  195.5861    0.0000
   24.51411  -28.6082   14.7227  194.7369    0.0000
   24.61457  -28.6086   14.7218  193.8906    0.0000
   24.71504  -28.6089   14.7208  193.0466    0.0000
   24.81551  -28.6093   14.7199  192.2062    0.0000
   24.91598  -28.6097   14.7190  191.3692    0.0000
   25.01645  -28.6101   14.7180  190.5340    0.0000
   25.11691  -28.6105   14.7171  189.7025    0.0000
   25.21738  -28.6109   14.7162  188.8740    0.0000
   25.31785  -28.6113   14.7153  188.0476    0.0000
   25.41832  -28.6117   14.7143  187.2250    0.0000
   25.51878  -28.6121   14.7134  186.4057    0.0000
   25.61925  -28.6125   14.7125  185.5890    0.0000
   25.71972  -28.6129   14.7115  184.7745    0.0000
   25.82019  -28.6132   14.7106  183.9637    0.0000
   25.92065  -28.6136   14.7097  183.1559    0.0000
   26.02112  -28.6140   14.7088  182.3502    0.0000
   26.12159  -28.6144   14.7078  181.6990    0.0000
   26.22206  -28.6148   14.7069  181.1988    0.0000
   26.32253  -28.6152   14.7060  180.6980    0.0000
   26.42299  -28.6156   14.7051  180.1976    0.0000
   26.52346  -28.6160   14.7041  179.6972    0.0000
   26.62393  -28.6164   14.7032  179.1968    0.0000
   26.72440  -28.6168   14.7023  178.6960    0.0000
   26.82486  -28.6171   14.7013  178.1958    0.0000
   26.92533  -28.6175   14.7004  177.6954    0.0000
   27.02580  -28.6179   14.6995  177.1946    0.0000
   27.12627  -28.6183   14.6986  176.6942    0.0000
   27.22673  -28.6187   14.6976  176.1938    0.0000
   27.32720  -28.6191   14.6967  175.6930    0.0000
   27.42767  -28.6195   14.6958  175.1928    0.0000
   27.52814  -28.6199   14.6948  174.6924    0.0000
   27.62860  -28.6203   14.6939  174.1920    0.0000
   27.72907  -28.6207   14.6930  173.6912    0.0000
   27.82954  -28.6211   14.6921  173.1908    0.0000
   27.93001  -28.6214   14.6911  172.7094    0.0000
   28.03048  -28.6218   14.6902  172.2410    0.0000
   28.13094  -28.6222   14.6893  171.7762    0.0000
   28.23141  -28.6226   14.6883  171.3142    0.0000
   28.33188  -28.6230   14.6874  170.8547    0.0000
   28.43235  -28.6234   14.6865  170.3987    0.0000
   28.53281  -28.6238   14.6856  169.9456    0.0000
   28.63328  -28.6242   14.6846  169.4955    0.0000
   28.73375  -28.6246   14.6837  169.0480    0.0000
   28.83422  -28.6250   14.6828  168.6039    0.0000
   28.93468  -28.6254   14.6818  168.1627    0.0000
   29.03515  -28.6257   14.6809  167.7241    0.0000
   29.13562  -28.6261   14.6800  167.2889    0.0000
   29.23609  -28.6265   14.6791  166.8566    0.0000
   29.33655  -28.6269   14.6781  166.4269    0.0000
   29.43702  -28.6273   14.6772  166.0007    0.0000
   29.53749  -28.6277   14.6763  165.5773    0.0000
   29.63796  -28.6281   14.6753  165.1570    0.0000
   29.73842  -28.6285   14.6744  164.9305    0.0000
   29.83889  -28.6289   14.6735  164.8193    0.0000
   29.93936  -28.6293   14.6726  164.7082    0.0000
   30.03983  -28.6297   14.6716  164.5970    0.0000
   30.14030  -28.6300   14.6707  164.4858    0.0000
   30.24076  -28.6304   14.6698  164.3747    0.0000
   30.34123  -28.6308   14.6688  164.2635    0.0000
   30.44170  -28.6312   14.6679  164.1523    0.0000
   30.54217  -28.6316   14.6670  164.0412    0.0000
   30.64263  -28.6320   14.6661  163.9301    0.0000
   30.74310  -28.6324   14.6651  163.8188    0.0000
   30.84357  -28.6328   14.6642  163.7077    0.0000
   30.94404  -28.6332   14.6633  163.5966    0.0000
   31.04450  -28.6336   14.6624  163.4853    0.0000
   31.14497  -28.6340   14.6614  163.3742    0.0000
   31.24544  -28.6343   14.6605  163.2631    0.0000
   31.34591  -28.6347   14.6596  163.1518    0.0000
   31.44637  -28.6351   14.6586  163.0407    0.0000
   31.54684  -28.6355   14.6577  163.2743    0.0000
   31.64731  -28.6359   14.6568  163.7773    0.0000
   31.74778  -28.6363   14.6559  164.3907    0.0000
   31.84825  -28.6367   14.6549  164.9887    0.0000
   31.94871  -28.6371   14.6540  165.5710    0.0000
   32.04918  -28.6375   14.6531  166.1395    0.0000
   32.14965  -28.6379   14.6521  166.6925    0.0000
   32.25011  -28.6382   14.6512  167.2307    0.0000
   32.35058  -28.6386   14.6503  167.7542    0.0000
   32.45105  -28.6390   14.6494  168.2624    0.0000
   32.55152  -28.6394   14.6484  168.7556    0.0000
   32.65199  -28.6398   14.6475  169.2333    0.0000
   32.75245  -28.6402   14.6466  169.6970    0.0000
   32.85292  -28.6406   14.6456  170.1453    0.0000
   32.95339  -28.6410   14.6447  170.5787    0.0000
   33.05386  -28.6414   14.6438  170.9974    0.0000
   33.15432  -28.6418   14.6429  171.4008    0.0000
   33.25479  -28.6422   14.6419  171.7889    0.0000
   33.35526  -28.6425   14.6410  172.1743    0.0000
   33.45573  -28.6429   14.6401  172.5612    0.0000
   33.55619  -28.6433   14.6391  172.9482    0.0000
   33.65666  -28.6437   14.6382  173.3351    0.0000
   33.75713  -28.6441   14.6373  173.7224    0.0000
   33.85760  -28.6445   14.6364  174.1094    0.0000
   33.95807  -28.6449   14.6354  174.4960    0.0000
   34.05853  -28.6453   14.6345  174.8833    0.0000
   34.15900  -28.6457   14.6336  175.2703    0.0000
   34.25947  -28.6461   14.6327  175.6572    0.0000
   34.35994  -28.6465   14.6317  176.0445    0.0000
   34.46040  -28.6468   14.6308  176.4315    0.0000
   34.56087  -28.6472   14.6299  176.8182    0.0000
   34.66134  -28.6476   14.6289  177.2051    0.0000
   34.76181  -28.6480   14.6280  177.5924    0.0000
   34.86227  -28.6484   14.6271  177.9794    0.0000
   34.96274  -28.6488   14.6262  178.3663    0.0000
   35.06321  -28.6492   14.6252  178.7536    0.0000
   35.16368  -28.6496   14.6243  178.8708    0.0000
   35.26414  -28.6500   14.6234  178.9208    0.0000
   35.36461  -28.6504   14.6224  178.9916    0.0000
   35.46508  -28.6508   14.6215  179.1332    0.0000
   35.56555  -28.6511   14.6206  179.2617    0.0000
   35.66602  -28.6515   14.6197  179.3694    0.0000
   35.76648  -28.6519   14.6187  179.4563    0.0000
   35.86695  -28.6523   14.6178  179.5218    0.0000
   35.96742  -28.6527   14.6169  179.5670    0.0000
   36.06789  -28.6531   14.6159  179.5913    0.0000
   36.16835  -28.6535   14.6150  179.5949    0.0000
   36.26882  -28.6539   14.6141  179.5776    0.0000
